Year,CBSA,CBSA Name,Composite,Rank,Score
2013-2014,24660,"Greensboro-High Point, NC",Race,73,-0.786234498
2013-2014,24860,"Greenville-Anderson-Mauldin, SC",Race,84,-1.446214676
2013-2014,25420,"Harrisburg-Carlisle, PA",Race,50,0.44494161
2013-2014,25540,"Hartford-West Hartford-East Hartford, CT",Race,59,0.219607517
2013-2014,26420,"Houston-The Woodlands-Sugar Land, TX",Race,16,1.58599329
2013-2014,26900,"Indianapolis-Carmel-Anderson, IN",Race,15,1.753348112
2013-2014,27140,"Jackson, MS",Race,3,3.184049606
2013-2014,27260,"Jacksonville, FL",Race,45,0.688638806
2013-2014,28140,"Kansas City, MO-KS",Race,38,0.947169662
2013-2014,28940,"Knoxville, TN",Race,98,-6.012413025
2013-2014,29460,"Lakeland-Winter Haven, FL",Race,55,0.296499968
2013-2014,29820,"Las Vegas-Henderson-Paradise, NV",Race,13,1.916741848
2013-2014,30780,"Little Rock-North Little Rock-Conway, AR",Race,6,2.36852026
2013-2014,31080,"Los Angeles-Long Beach-Anaheim, CA",Race,39,0.890964389
2013-2014,31140,"Louisville/Jefferson County, KY-IN",Race,20,1.362180233
2013-2014,31540,"Madison, WI",Race,74,-0.828150809
2013-2014,32580,"McAllen-Edinburg-Mission, TX",Race,28,1.255711317
2013-2014,32820,"Memphis, TN-MS-AR",Race,17,1.455268264
2013-2014,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Race,47,0.547174692
2013-2014,33340,"Milwaukee-Waukesha-West Allis, WI",Race,58,0.226011634
2013-2014,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Race,53,0.392328501
2013-2014,34980,"Nashville-Davidson-Murfreesboro-Franklin, TN",Race,68,-0.551494956
2013-2014,35300,"New Haven-Milford, CT",Race,72,-0.78320688
2013-2014,35380,"New Orleans-Metairie, LA",Race,65,-0.280347228
2013-2014,35620,"New York-Newark-Jersey City, NY-NJ-PA",Race,41,0.86107713
2013-2014,35840,"North Port-Sarasota-Bradenton, FL",Race,81,-1.365661502
2013-2014,36260,"Ogden-Clearfield, UT",Race,24,1.27717483
2013-2014,36420,"Oklahoma City, OK",Race,56,0.287658691
2013-2014,36540,"Omaha-Council Bluffs, NE-IA",Race,80,-1.10353899
2013-2014,36740,"Orlando-Kissimmee-Sanford, FL",Race,29,1.229687691
2013-2014,37100,"Oxnard-Thousand Oaks-Ventura, CA",Race,1,3.260114431
2013-2014,37340,"Palm Bay-Melbourne-Titusville, FL",Race,86,-1.489508867
2013-2014,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Race,36,0.962306023
2013-2014,38060,"Phoenix-Mesa-Scottsdale, AZ",Race,40,0.88984704
2013-2014,38300,"Pittsburgh, PA",Race,88,-1.65854907
2013-2014,38900,"Portland-Vancouver-Hillsboro, OR-WA",Race,30,1.206216574
2013-2014,39300,"Providence-Warwick, RI-MA",Race,9,2.044192314
2013-2014,39340,"Provo-Orem, UT",Race,92,-2.348525286
2013-2014,39580,"Raleigh, NC",Race,37,0.960454941
2013-2014,40060,"Richmond, VA",Race,67,-0.432783902
2013-2014,40140,"Riverside-San Bernardino-Ontario, CA",Race,33,1.048537135
2013-2014,40380,"Rochester, NY",Race,18,1.408153057
2013-2014,40900,"Sacramento-Roseville-Arden-Arcade, CA",Race,62,0.02956605
2013-2014,41180,"St. Louis, MO-IL",Race,21,1.306746364
2013-2014,41620,"Salt Lake City, UT",Race,54,0.29684782
2013-2014,41700,"San Antonio-New Braunfels, TX",Race,31,1.189239144
2013-2014,41740,"San Diego-Carlsbad, CA",Race,70,-0.629513204
2013-2014,41860,"San Francisco-Oakland-Hayward, CA",Race,27,1.257130384
2013-2014,41940,"San Jose-Sunnyvale-Santa Clara, CA",Race,23,1.284986019
2013-2014,42540,"Scranton-Wilkes-Barre-Hazleton, PA",Race,5,2.476742744
2013-2014,42660,"Seattle-Tacoma-Bellevue, WA",Race,44,0.691517353
2013-2014,44060,"Spokane-Spokane Valley, WA",Race,95,-3.337579727
2013-2014,44140,"Springfield, MA",Race,7,2.208535194
2013-2014,44700,"Stockton-Lodi, CA",Race,89,-1.684464693
2013-2014,45060,"Syracuse, NY",Race,25,1.274560928
2013-2014,45300,"Tampa-St. Petersburg-Clearwater, FL",Race,76,-0.921320677
2013-2014,45780,"Toledo, OH",Race,10,2.014374495
2013-2014,46060,"Tucson, AZ",Race,32,1.146714211
2013-2014,46140,"Tulsa, OK",Race,8,2.162037134
2013-2014,46520,"Urban Honolulu, HI",Race,2,3.240689039
2013-2014,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Race,12,1.96762228
2013-2014,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Race,66,-0.292785972
2013-2014,48620,"Wichita, KS",Race,96,-5.157831669
2013-2014,49180,"Winston-Salem, NC",Race,4,3.169417858
2013-2014,49340,"Worcester, MA-CT",Race,71,-0.658685565
2013-2014,49660,"Youngstown-Warren-Boardman, OH-PA",Race,94,-2.743062735
