year,CBSA,CBSA_name,rank,score
2013-2014,33340,Milwaukee-Waukesha-West Allis; WI Metropolitan Statistical Area,81,-2.41182844
2013-2014,33460,Minneapolis-St. Paul-Bloomington; MN-WI Metropolitan Statistical Area,52,-0.394156497
2013-2014,34980,Nashville-Davidson--Murfreesboro--Franklin; TN Metropolitan Statistical Area,14,3.2691355788
2013-2014,35300,New Haven-Milford; CT Metropolitan Statistical Area,87,-3.171467323
2013-2014,35380,New Orleans-Metairie; LA Metropolitan Statistical Area,75,-2.048481594
2013-2014,35620,New York-Newark-Jersey City; NY-NJ-PA Metropolitan Statistical Area,32,0.732790441
2013-2014,35840,North Port-Sarasota-Bradenton; FL Metropolitan Statistical Area,7,4.4782267282
2013-2014,36260,Ogden-Clearfield; UT Metropolitan Statistical Area,24,1.8874131821
2013-2014,36420,Oklahoma City; OK Metropolitan Statistical Area,54,-0.426409507
2013-2014,36540,Omaha-Council Bluffs; NE-IA Metropolitan Statistical Area,58,-0.629931183
2013-2014,36740,Orlando-Kissimmee-Sanford; FL Metropolitan Statistical Area,8,4.2071156647
2013-2014,37100,Oxnard-Thousand Oaks-Ventura; CA Metropolitan Statistical Area,62,-0.864113264
2013-2014,37340,Palm Bay-Melbourne-Titusville; FL Metropolitan Statistical Area,79,-2.323595101
2013-2014,37980,Philadelphia-Camden-Wilmington; PA-NJ-DE-MD Metropolitan Statistical Area,77,-2.111973801
2013-2014,38060,Phoenix-Mesa-Scottsdale; AZ Metropolitan Statistical Area,43,-0.019781853
2013-2014,38300,Pittsburgh; PA Metropolitan Statistical Area,83,-2.669767439
2013-2014,38900,Portland-Vancouver-Hillsboro; OR-WA Metropolitan Statistical Area,13,3.5270288988
2013-2014,39300,Providence-Warwick; RI-MA Metropolitan Statistical Area,61,-0.817787832
2013-2014,39340,Provo-Orem; UT Metropolitan Statistical Area,11,3.9613508276
2013-2014,39580,Raleigh; NC Metropolitan Statistical Area,18,2.8870395099
2013-2014,40060,Richmond; VA Metropolitan Statistical Area,71,-1.652519938
2013-2014,40140,Riverside-San Bernardino-Ontario; CA Metropolitan Statistical Area,10,4.0242216442
2013-2014,40380,Rochester; NY Metropolitan Statistical Area,91,-3.266293895
2013-2014,40900,Sacramento--Roseville--Arden-Arcade; CA Metropolitan Statistical Area,41,0.2449876819
2013-2014,41180,St. Louis; MO-IL Metropolitan Statistical Area,73,-1.908400978
2013-2014,41620,Salt Lake City; UT Metropolitan Statistical Area,28,0.9518419165
2013-2014,41700,San Antonio-New Braunfels; TX Metropolitan Statistical Area,9,4.1518272406
2013-2014,41740,San Diego-Carlsbad; CA Metropolitan Statistical Area,39,0.4358173858
2013-2014,41860,San Francisco-Oakland-Hayward; CA Metropolitan Statistical Area,12,3.8101405943
2013-2014,41940,San Jose-Sunnyvale-Santa Clara; CA Metropolitan Statistical Area,1,8.4613082072
2013-2014,42540,Scranton--Wilkes-Barre--Hazleton; PA Metropolitan Statistical Area,60,-0.776137835
2013-2014,42660,Seattle-Tacoma-Bellevue; WA Metropolitan Statistical Area,15,3.232660821
2013-2014,44060,Spokane-Spokane Valley; WA Metropolitan Statistical Area,50,-0.384710332
2013-2014,44140,Springfield; MA Metropolitan Statistical Area,48,-0.322093274
2013-2014,44700,Stockton-Lodi; CA Metropolitan Statistical Area,38,0.4600084316
2013-2014,45060,Syracuse; NY Metropolitan Statistical Area,96,-3.67128975
2013-2014,45300,Tampa-St. Petersburg-Clearwater; FL Metropolitan Statistical Area,25,1.4731282684
2013-2014,45780,Toledo; OH Metropolitan Statistical Area,68,-1.450562791
2013-2014,46060,Tucson; AZ Metropolitan Statistical Area,97,-3.959577427
2013-2014,46140,Tulsa; OK Metropolitan Statistical Area,45,-0.274557846
2013-2014,46520,Urban Honolulu; HI Metropolitan Statistical Area,74,-1.994317561
2013-2014,47260,Virginia Beach-Norfolk-Newport News; VA-NC Metropolitan Statistical Area,100,-4.793878158
2013-2014,47900,Washington-Arlington-Alexandria; DC-VA-MD-WV Metropolitan Statistical Area,94,-3.545654723
2013-2014,48620,Wichita; KS Metropolitan Statistical Area,72,-1.838017792
2013-2014,49180,Winston-Salem; NC Metropolitan Statistical Area,57,-0.594863323
2013-2014,49340,Worcester; MA-CT Metropolitan Statistical Area,44,-0.030815039
2013-2014,49660,Youngstown-Warren-Boardman; OH-PA Metropolitan Statistical Area,98,-4.410735812
