"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"09001","Fairfield, CT ","1","CA4","7020","...","  Wage and salary employment",324064,321544,311655,316110,328069,331493,321345,329644,344229,364029,380117,391345,402023,402427,402901,420714,431807,439055,445439,450721,446534,432266,413774,405561,411767,415581,422659,428954,438826,450008,456285,462599,457458,452823,448378,447386,448893,452969,459799,457308,435975,430552,436670,441771,446755
"09001","Fairfield, CT ","1","CA4","7040","...","  Proprietors employment",42608,44708,46612,47944,51122,52416,53591,56248,59131,61431,62583,64514,68517,72376,73283,74480,77661,80753,79958,86913,85552,89685,89547,96366,100912,92706,96087,99221,98703,100319,105456,112499,115386,116756,121699,129984,136474,143343,156286,159472,167689,167403,178695,179672,183210
"09003","Hartford, CT ","1","CA4","10","...","Personal income (thousands of dollars)",3920005,4193342,4351224,4639663,5063018,5551817,5968957,6352518,6942135,7719674,8699376,9873203,10955040,11830068,12630127,14033988,15025417,16318969,17820919,19502041,21259592,21932925,22018717,23111830,23729082,24180226,24851831,25736528,27310861,28979657,30153789,32846734,34113139,34194331,35250836,37216275,38994960,41813819,44683106,45567278,45076321,45931440,47231981,49678412,50164240
"09003","Hartford, CT ","1","CA4","11","...","  Nonfarm personal income 1/",3900753,4165778,4326543,4618054,5037249,5510362,5940710,6323058,6912523,7696213,8675982,9842610,10927623,11801662,12600147,14002484,14988814,16276987,17779153,19442906,21204978,21853958,21950936,23046282,23661381,24128678,24800097,25694148,27271615,28934318,30110475,32791156,34062846,34153790,35205963,37172769,38955523,41776353,44634580,45524443,45040171,45895052,47196921,49643564,50126254
"09003","Hartford, CT ","1","CA4","12","...","  Farm income 2/",19252,27564,24681,21609,25769,41455,28247,29460,29612,23461,23394,30593,27417,28406,29980,31504,36603,41982,41766,59135,54614,78967,67781,65548,67701,51548,51734,42380,39246,45339,43314,55578,50293,40541,44873,43506,39437,37466,48526,42835,36150,36388,35060,34848,37986
"09003","Hartford, CT ","1","CA4","20","...","Population (persons) 3/",808574,818452,824080,821294,818956,818468,814177,810704,806380,805986,805516,808940,811862,812390,818501,821289,826385,834349,843149,853033,853017,852567,854316,851504,851008,849602,846135,846156,846001,849006,853039,858416,862573,867451,873335,874449,878081,881298,884548,887891,891667,895188,896830,897177,898272
"09003","Hartford, CT ","1","CA4","30","...","Per capita personal income (dollars) 4/",4848,5124,5280,5649,6182,6783,7331,7836,8609,9578,10800,12205,13494,14562,15431,17088,18182,19559,21136,22862,24923,25726,25774,27142,27884,28461,29371,30416,32282,34134,35349,38264,39548,39419,40363,42560,44409,47446,50515,51321,50553,51309,52665,55372,55845
"09003","Hartford, CT ","1","CA4","35","...","Earnings by place of work",3680964,3872704,3931836,4251550,4716910,5137519,5383406,5760080,6370572,7258527,8299757,9295100,10092989,10778875,11571289,12874349,14035685,15443917,17111104,18707501,19896684,20633291,20717476,21410730,21954261,22372041,22760643,23412418,25007415,26808340,28503204,30994866,32280943,32469006,33078649,35278658,37041724,38650039,40804411,41118247,40373515,41208802,42647539,43836319,44560932
"09003","Hartford, CT ","1","CA4","36","...","Less: Contributions for government social insurance 5/",251521,259755,272815,313172,400092,452655,463644,507419,572116,673414,800517,885412,1033854,1119212,1213579,1383089,1523682,1681611,1833784,2050798,2164038,2216136,2258956,2307563,2366068,2442339,2507538,2577552,2706755,2845694,2988734,3185616,3288403,3430805,3475409,3669473,3832035,3945274,4144903,4288873,4213256,4261256,3966539,4091375,4766436
"09003","Hartford, CT ","1","CA4","37","...","  Employee and self-employed contributions for government social insurance",118660,124032,130769,146864,188431,214807,222748,236033,259077,300553,362420,413106,488813,534464,572767,636879,724024,803604,886089,989528,1064480,1092681,1123804,1140232,1162999,1209434,1241242,1271891,1339591,1415267,1495445,1585630,1640936,1682390,1708437,1804583,1902067,1994985,2107515,2169176,2132094,2148841,1740176,1782433,2412487
